EmployeeId,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,SalaryCategory,PromotionCategory,AgeGroup,DistanceCategory,Cluster,Cluster_Label,dim_1,dim_2
189,27,0.0,Travel_Rarely,269,Research & Development,5,1,Technical Degree,1,3,Male,42,2,3,Research Director,4,Divorced,12808,8842,1,Y,Yes,16,3,2,80,1,9,3,3,9,8,0,8,Tinggi (10000-15000),Baru Dipromosikan,< 30,0-5 km,2,Risiko Rendah,-0.46057661563628355,-1.0778352587134077
190,43,0.0,Travel_Rarely,1001,Research & Development,7,3,Life Sciences,1,3,Female,43,3,3,Healthcare Representative,1,Married,9985,9262,8,Y,No,16,3,1,80,1,10,1,2,1,0,0,0,Sedang (5000-10000),Baru Dipromosikan,40-49,6-10 km,2,Risiko Rendah,-0.4363229897871027,1.9331054932144114
191,38,0.0,Travel_Rarely,343,Research & Development,15,2,Life Sciences,1,3,Male,92,2,3,Research Director,4,Divorced,11510,15682,0,Y,Yes,14,3,2,80,1,12,3,3,11,10,2,9,Tinggi (10000-15000),1-2 Tahun,30-39,11-20 km,2,Risiko Rendah,-0.8462134334772452,-2.2834881021463085
192,36,,Travel_Rarely,557,Sales,3,3,Medical,1,1,Female,94,2,3,Sales Executive,4,Married,7644,12695,0,Y,No,19,3,3,80,2,10,2,3,9,7,3,4,Sedang (5000-10000),3-5 Tahun,30-39,0-5 km,2,Risiko Rendah,1.0750596621451587,-0.6310254587912715
193,39,,Travel_Frequently,711,Research & Development,4,3,Medical,1,1,Female,81,3,2,Manufacturing Director,3,Single,5042,3140,0,Y,No,13,3,4,80,0,10,2,1,9,2,3,8,Sedang (5000-10000),3-5 Tahun,30-39,0-5 km,2,Risiko Rendah,0.7949043131535404,0.027498651807263106
194,31,0.0,Travel_Frequently,793,Sales,20,3,Life Sciences,1,3,Male,67,4,1,Sales Representative,4,Married,2791,21981,0,Y,No,12,3,1,80,1,3,4,3,2,2,2,2,Rendah (< 5000),1-2 Tahun,30-39,11-20 km,1,Risiko Sedang,-13.095941487918333,10.171071526952153
195,30,0.0,Travel_Rarely,501,Sales,27,5,Marketing,1,3,Male,99,3,2,Sales Executive,4,Divorced,5304,25275,7,Y,No,23,4,4,80,1,10,2,2,8,7,7,7,Sedang (5000-10000),> 5 Tahun,30-39,21-30 km,2,Risiko Rendah,-0.06283136138645452,-0.9602888024650422
196,44,0.0,Travel_Rarely,1448,Sales,28,3,Medical,1,4,Female,53,4,4,Sales Executive,4,Married,13320,11737,3,Y,Yes,18,3,3,80,1,23,2,3,12,11,11,11,Tinggi (10000-15000),> 5 Tahun,40-49,21-30 km,2,Risiko Rendah,-0.611599710420519,-2.0257294691061176
197,23,0.0,Travel_Rarely,650,Research & Development,9,1,Medical,1,2,Male,37,3,1,Laboratory Technician,1,Married,2500,4344,1,Y,No,14,3,4,80,1,5,2,4,4,3,0,2,Rendah (< 5000),Baru Dipromosikan,< 30,6-10 km,2,Risiko Rendah,-0.684475995080624,0.22528905779425804
198,41,,Travel_Rarely,337,Sales,8,3,Marketing,1,3,Female,54,3,2,Sales Executive,2,Married,4393,26841,5,Y,No,21,4,3,80,1,14,3,3,5,4,1,4,Rendah (< 5000),1-2 Tahun,40-49,6-10 km,2,Risiko Rendah,0.7976122996895906,-0.11187388693634666
199,21,1.0,Travel_Rarely,1334,Research & Development,10,3,Life Sciences,1,3,Female,36,2,1,Laboratory Technician,1,Single,1416,17258,1,Y,No,13,3,1,80,0,1,6,2,1,0,1,0,Rendah (< 5000),1-2 Tahun,< 30,6-10 km,0,,2.5271795797655616,-1.2549060173306152
200,45,,Non-Travel,1238,Research & Development,1,1,Life Sciences,1,3,Male,74,2,3,Healthcare Representative,3,Married,10748,3395,3,Y,No,23,4,4,80,1,25,3,2,23,15,14,4,Tinggi (10000-15000),> 5 Tahun,40-49,0-5 km,2,Risiko Rendah,0.618925090351711,-0.45208347015363326
201,40,,Travel_Rarely,1342,Sales,9,2,Medical,1,1,Male,47,3,2,Sales Executive,1,Married,5473,19345,0,Y,No,12,3,4,80,0,9,5,4,8,4,7,1,Sedang (5000-10000),> 5 Tahun,40-49,6-10 km,2,Risiko Rendah,0.6296178446888491,-0.03327665757017566
202,44,,Travel_Rarely,1037,Research & Development,1,3,Medical,1,2,Male,42,3,1,Research Scientist,4,Single,2436,13422,6,Y,Yes,12,3,3,80,0,6,2,3,4,3,1,2,Rendah (< 5000),1-2 Tahun,40-49,0-5 km,2,Risiko Rendah,-2.236576075328751,-1.168956764792774
203,31,0.0,Travel_Rarely,1222,Research & Development,11,4,Life Sciences,1,4,Male,48,3,1,Research Scientist,4,Married,2356,14871,3,Y,Yes,19,3,2,80,1,8,2,3,6,4,0,2,Rendah (< 5000),Baru Dipromosikan,30-39,11-20 km,2,Risiko Rendah,-1.768325182788084,-1.3438565164434828
204,46,1.0,Travel_Rarely,377,Sales,9,3,Marketing,1,1,Male,52,3,3,Sales Executive,4,Divorced,10096,15986,4,Y,No,11,3,1,80,1,28,1,4,7,7,4,3,Tinggi (10000-15000),3-5 Tahun,40-49,6-10 km,2,Risiko Rendah,1.0895155228572453,0.14073978671769752
205,53,0.0,Travel_Rarely,346,Research & Development,6,3,Life Sciences,1,4,Male,86,3,2,Laboratory Technician,4,Single,2450,10919,2,Y,No,17,3,4,80,0,19,4,3,2,2,2,2,Rendah (< 5000),1-2 Tahun,50+,6-10 km,0,,2.9565195885699396,-3.6121082292725593
206,49,0.0,Travel_Rarely,1418,Research & Development,1,3,Technical Degree,1,3,Female,36,3,1,Research Scientist,1,Married,3580,10554,2,Y,No,16,3,2,80,1,7,2,3,4,2,0,2,Rendah (< 5000),Baru Dipromosikan,40-49,0-5 km,2,Risiko Rendah,-0.000983181784632724,0.9457507428525045
207,46,0.0,Travel_Rarely,1003,Research & Development,8,4,Life Sciences,1,4,Female,74,2,2,Research Scientist,1,Divorced,4615,21029,8,Y,Yes,23,4,1,80,3,19,2,3,16,13,1,7,Rendah (< 5000),1-2 Tahun,40-49,6-10 km,2,Risiko Rendah,-1.1945072494805689,-0.17515515666243367
208,31,0.0,Travel_Rarely,140,Research & Development,12,1,Medical,1,3,Female,95,3,1,Research Scientist,4,Married,3929,6984,8,Y,Yes,23,4,3,80,1,7,0,3,4,2,0,2,Rendah (< 5000),Baru Dipromosikan,30-39,11-20 km,2,Risiko Rendah,-2.1265862112417766,-1.1112960413157542
209,50,,Travel_Frequently,1234,Research & Development,20,5,Medical,1,2,Male,41,3,4,Healthcare Representative,3,Married,11245,20689,2,Y,Yes,15,3,3,80,1,32,3,3,30,8,12,13,Tinggi (10000-15000),> 5 Tahun,50+,11-20 km,2,Risiko Rendah,-0.5181516424266537,-0.26076891538718655
210,58,0.0,Travel_Rarely,1055,Research & Development,1,3,Medical,1,4,Female,76,3,5,Research Director,1,Married,19701,22456,3,Y,Yes,21,4,3,80,1,32,3,3,9,8,1,5,Sangat Tinggi (>15000),1-2 Tahun,50+,0-5 km,2,Risiko Rendah,-0.12337911158946419,-1.8059219322899216
211,34,0.0,Non-Travel,1065,Sales,23,4,Marketing,1,2,Male,72,3,2,Sales Executive,3,Single,4568,10034,0,Y,No,20,4,3,80,0,10,2,3,9,5,8,7,Rendah (< 5000),> 5 Tahun,30-39,21-30 km,2,Risiko Rendah,0.7914749652032447,-0.2778952342466915
212,26,,Travel_Rarely,572,Sales,10,3,Medical,1,3,Male,46,3,2,Sales Executive,4,Single,4684,9125,1,Y,No,13,3,1,80,0,5,4,3,5,3,1,2,Rendah (< 5000),1-2 Tahun,< 30,6-10 km,2,Risiko Rendah,0.7868077862022417,-0.10734460111395128
213,35,0.0,Travel_Frequently,664,Research & Development,1,3,Medical,1,2,Male,79,3,1,Research Scientist,1,Married,2194,5868,4,Y,No,13,3,4,80,1,5,2,2,3,2,1,2,Rendah (< 5000),1-2 Tahun,30-39,0-5 km,2,Risiko Rendah,-1.356221751793493,1.1277741448424001
214,32,0.0,Travel_Rarely,334,Research & Development,5,2,Life Sciences,1,1,Male,80,4,1,Research Scientist,2,Divorced,3298,15053,0,Y,Yes,12,3,4,80,2,7,5,2,6,2,0,5,Rendah (< 5000),Baru Dipromosikan,30-39,0-5 km,2,Risiko Rendah,0.19160656424837533,0.7191758835569634
215,35,0.0,Travel_Rarely,144,Research & Development,22,3,Life Sciences,1,4,Male,46,1,1,Laboratory Technician,3,Single,4230,19225,0,Y,No,15,3,3,80,0,6,2,3,5,4,4,3,Rendah (< 5000),3-5 Tahun,30-39,21-30 km,2,Risiko Rendah,-0.96139581457333,0.19269030469728685
216,19,0.0,Travel_Rarely,265,Research & Development,25,3,Life Sciences,1,2,Female,57,4,1,Research Scientist,4,Single,2994,21221,1,Y,Yes,12,3,4,80,0,1,2,3,1,0,0,1,Rendah (< 5000),Baru Dipromosikan,< 30,21-30 km,0,,0.15835507897584475,-4.338728201526098
217,28,0.0,Travel_Rarely,866,Sales,5,3,Medical,1,4,Male,84,3,2,Sales Executive,1,Single,8463,23490,0,Y,No,18,3,4,80,0,6,4,3,5,4,1,3,Sedang (5000-10000),1-2 Tahun,< 30,0-5 km,2,Risiko Rendah,0.7848183507895826,-0.49275186886963984
218,32,1.0,Travel_Rarely,1045,Sales,4,4,Medical,1,4,Male,32,1,3,Sales Executive,4,Married,10400,25812,1,Y,No,11,3,3,80,0,14,2,2,14,8,9,8,Tinggi (10000-15000),> 5 Tahun,30-39,0-5 km,2,Risiko Rendah,0.7421684452340257,-0.04223625466120106
219,43,0.0,Travel_Frequently,422,Research & Development,1,3,Life Sciences,1,4,Female,33,3,2,Healthcare Representative,4,Married,5562,21782,4,Y,No,13,3,2,80,1,12,2,2,5,2,2,2,Sedang (5000-10000),1-2 Tahun,40-49,0-5 km,2,Risiko Rendah,0.212836487059968,-1.1030508448757308
220,24,,Travel_Rarely,506,Research & Development,29,1,Medical,1,2,Male,91,3,1,Laboratory Technician,1,Divorced,3907,3622,1,Y,No,13,3,2,80,3,6,2,4,6,2,1,2,Rendah (< 5000),1-2 Tahun,< 30,21-30 km,2,Risiko Rendah,-0.019460180076226123,1.6603298297363323
221,37,0.0,Travel_Rarely,367,Research & Development,25,2,Medical,1,3,Female,52,2,2,Healthcare Representative,4,Divorced,5731,17171,7,Y,No,13,3,3,80,2,9,2,3,6,2,1,3,Sedang (5000-10000),1-2 Tahun,30-39,21-30 km,2,Risiko Rendah,0.6952177213979629,-1.1651972644368627
222,49,,Travel_Rarely,301,Research & Development,22,4,Other,1,1,Female,72,3,4,Research Director,2,Married,16413,3498,3,Y,No,16,3,2,80,2,27,2,3,4,2,1,2,Sangat Tinggi (>15000),1-2 Tahun,40-49,21-30 km,2,Risiko Rendah,2.8935232684780843,0.4983284466799861
223,38,0.0,Travel_Rarely,1261,Research & Development,2,4,Life Sciences,1,4,Male,88,3,2,Manufacturing Director,3,Married,6553,7259,9,Y,No,14,3,2,80,0,14,3,3,1,0,0,0,Sedang (5000-10000),Baru Dipromosikan,30-39,0-5 km,2,Risiko Rendah,0.11014035560348778,-0.565913797874481
224,30,0.0,Travel_Rarely,1240,Human Resources,9,3,Human Resources,1,3,Male,48,3,2,Human Resources,4,Married,6347,13982,0,Y,Yes,19,3,4,80,0,12,2,1,11,9,4,7,Sedang (5000-10000),3-5 Tahun,30-39,6-10 km,2,Risiko Rendah,0.18794072449301796,-1.0655752068667386
225,53,0.0,Travel_Rarely,1436,Sales,6,2,Marketing,1,2,Male,34,3,2,Sales Representative,3,Married,2306,16047,2,Y,Yes,20,4,4,80,1,13,3,1,7,7,4,5,Rendah (< 5000),3-5 Tahun,50+,6-10 km,-1,Risiko Tinggi,,
226,42,0.0,Travel_Rarely,635,Sales,1,1,Life Sciences,1,2,Male,99,3,2,Sales Executive,3,Married,4907,24532,1,Y,No,25,4,3,80,0,20,3,3,20,16,11,6,Rendah (< 5000),> 5 Tahun,40-49,0-5 km,2,Risiko Rendah,1.3967619030538434,1.560799069351058
227,30,0.0,Travel_Frequently,160,Research & Development,3,3,Medical,1,3,Female,71,3,1,Research Scientist,3,Divorced,2083,22653,1,Y,No,20,4,3,80,1,1,2,3,1,0,0,0,Rendah (< 5000),Baru Dipromosikan,30-39,0-5 km,0,,1.7867489906575071,-2.5927518883867315
228,31,,Travel_Frequently,1125,Research & Development,1,3,Life Sciences,1,4,Male,48,1,2,Research Scientist,1,Married,5003,5771,1,Y,No,21,4,2,80,0,10,6,3,10,8,8,7,Sedang (5000-10000),> 5 Tahun,30-39,0-5 km,2,Risiko Rendah,1.728395159475792,0.9664701172322447
229,25,1.0,Travel_Rarely,867,Sales,19,2,Marketing,1,3,Male,36,2,1,Sales Representative,2,Married,2413,18798,1,Y,Yes,18,3,3,80,3,1,2,3,1,0,0,0,Rendah (< 5000),Baru Dipromosikan,< 30,11-20 km,0,,0.3586168645007345,-4.066171214659855
230,53,0.0,Travel_Rarely,447,Research & Development,2,3,Medical,1,4,Male,39,4,4,Research Director,2,Single,16598,19764,4,Y,No,12,3,2,80,0,35,2,2,9,8,8,8,Sangat Tinggi (>15000),> 5 Tahun,50+,0-5 km,2,Risiko Rendah,1.520420680308885,-0.18513104885502016
231,40,,Travel_Rarely,1194,Research & Development,1,3,Life Sciences,1,3,Female,52,3,2,Healthcare Representative,4,Divorced,6513,9060,4,Y,No,17,3,4,80,1,12,3,3,5,3,0,3,Sedang (5000-10000),Baru Dipromosikan,40-49,0-5 km,2,Risiko Rendah,0.5868038073691865,-1.8363395505598181
232,32,,Travel_Rarely,824,Research & Development,5,2,Life Sciences,1,4,Female,67,2,2,Research Scientist,2,Married,5878,15624,3,Y,No,12,3,1,80,1,12,2,3,7,1,2,5,Sedang (5000-10000),1-2 Tahun,30-39,0-5 km,2,Risiko Rendah,0.988965086557619,0.2753376221698296
233,29,0.0,Travel_Rarely,1090,Sales,10,3,Marketing,1,4,Male,83,3,1,Sales Representative,2,Divorced,2297,17967,1,Y,No,14,3,4,80,2,2,2,3,2,2,2,2,Rendah (< 5000),1-2 Tahun,< 30,6-10 km,1,Risiko Sedang,-14.028855744765242,7.902740384176425
234,42,1.0,Travel_Frequently,481,Sales,12,3,Life Sciences,1,3,Male,44,3,4,Sales Executive,1,Single,13758,2447,0,Y,Yes,12,3,2,80,0,22,2,2,21,9,13,14,Tinggi (10000-15000),> 5 Tahun,40-49,11-20 km,-1,Risiko Tinggi,,
235,34,0.0,Travel_Frequently,702,Research & Development,16,4,Life Sciences,1,3,Female,100,2,1,Research Scientist,4,Single,2553,8306,1,Y,No,16,3,3,80,0,6,3,3,5,2,1,3,Rendah (< 5000),1-2 Tahun,30-39,11-20 km,2,Risiko Rendah,-0.8328780365190303,-0.32450263753056374
236,28,0.0,Travel_Rarely,1169,Human Resources,8,2,Medical,1,2,Male,63,2,1,Human Resources,4,Divorced,4936,23965,1,Y,No,13,3,4,80,1,6,6,3,5,1,0,4,Rendah (< 5000),Baru Dipromosikan,< 30,6-10 km,2,Risiko Rendah,-0.6636983053622698,-0.3753900076682538
237,43,0.0,Travel_Rarely,1034,Sales,16,3,Marketing,1,4,Female,80,3,4,Manager,4,Married,16064,7744,5,Y,Yes,22,4,3,80,1,22,3,3,17,13,1,9,Sangat Tinggi (>15000),1-2 Tahun,40-49,11-20 km,2,Risiko Rendah,-0.647380068879087,-1.8987586457389032
238,47,,Non-Travel,543,Sales,2,4,Marketing,1,3,Male,87,3,2,Sales Executive,2,Married,4978,3536,7,Y,No,11,3,4,80,1,4,3,1,1,0,0,0,Rendah (< 5000),Baru Dipromosikan,40-49,0-5 km,2,Risiko Rendah,0.14728411791913726,-0.08700490584737525
239,37,0.0,Travel_Rarely,228,Sales,6,4,Medical,1,3,Male,98,3,2,Sales Executive,4,Married,6502,22825,4,Y,No,14,3,2,80,1,7,5,4,5,4,0,1,Sedang (5000-10000),Baru Dipromosikan,30-39,6-10 km,2,Risiko Rendah,0.3424861835474929,-0.9816208213824952
240,44,0.0,Travel_Rarely,1112,Human Resources,1,4,Life Sciences,1,1,Female,50,2,2,Human Resources,3,Single,5985,26894,4,Y,No,11,3,2,80,0,10,1,4,2,2,0,2,Sedang (5000-10000),Baru Dipromosikan,40-49,0-5 km,0,,3.8349505152085586,-1.91948939974227
241,34,0.0,Non-Travel,999,Research & Development,26,1,Technical Degree,1,1,Female,92,2,1,Research Scientist,3,Divorced,2029,15891,1,Y,No,20,4,3,80,3,5,2,3,5,4,0,0,Rendah (< 5000),Baru Dipromosikan,30-39,21-30 km,2,Risiko Rendah,-0.16403507539315199,1.3257921251685116
242,34,,Travel_Frequently,735,Research & Development,22,4,Other,1,3,Male,86,2,2,Research Scientist,4,Married,5747,26496,1,Y,Yes,15,3,2,80,0,16,3,3,15,10,6,11,Sedang (5000-10000),> 5 Tahun,30-39,21-30 km,2,Risiko Rendah,-0.7086388567307551,-0.19317999357185192
243,47,,Non-Travel,1169,Research & Development,14,4,Technical Degree,1,3,Male,64,3,2,Research Scientist,2,Married,5467,2125,8,Y,No,18,3,3,80,1,16,4,4,8,7,1,7,Sedang (5000-10000),1-2 Tahun,40-49,11-20 km,2,Risiko Rendah,0.31399708340797505,-0.37927304560569225
244,28,0.0,Travel_Rarely,304,Sales,9,4,Life Sciences,1,2,Male,92,3,2,Sales Executive,4,Single,5253,20750,1,Y,No,16,3,4,80,0,7,1,3,7,5,0,7,Sedang (5000-10000),Baru Dipromosikan,< 30,6-10 km,2,Risiko Rendah,0.6894763516982753,-0.5820535693873129
245,40,0.0,Travel_Rarely,300,Sales,26,3,Marketing,1,3,Male,74,3,2,Sales Executive,1,Married,8396,22217,1,Y,No,14,3,2,80,1,8,3,2,7,7,7,5,Sedang (5000-10000),> 5 Tahun,40-49,21-30 km,2,Risiko Rendah,0.843185703892581,1.8243980203420678
246,34,0.0,Travel_Rarely,1111,Sales,8,2,Life Sciences,1,3,Female,93,3,2,Sales Executive,1,Married,6500,13305,5,Y,No,17,3,2,80,1,6,1,3,3,2,1,2,Sedang (5000-10000),1-2 Tahun,30-39,6-10 km,2,Risiko Rendah,1.3609166654568754,0.40480692887544584
247,44,0.0,Travel_Rarely,625,Research & Development,4,3,Medical,1,4,Male,50,3,2,Healthcare Representative,2,Single,5933,5197,9,Y,No,12,3,4,80,0,10,2,2,5,2,2,3,Sedang (5000-10000),1-2 Tahun,40-49,0-5 km,2,Risiko Rendah,0.25191512817435596,-0.7381260737313292
248,25,0.0,Travel_Rarely,180,Research & Development,2,1,Medical,1,1,Male,65,4,1,Research Scientist,1,Single,3424,21632,7,Y,No,13,3,3,80,0,6,3,2,4,3,0,1,Rendah (< 5000),Baru Dipromosikan,< 30,0-5 km,2,Risiko Rendah,0.06587383913909757,1.7158315382769669
249,34,1.0,Travel_Rarely,699,Research & Development,6,1,Medical,1,2,Male,83,3,1,Research Scientist,1,Single,2960,17102,2,Y,No,11,3,3,80,0,8,2,3,4,2,1,3,Rendah (< 5000),1-2 Tahun,30-39,6-10 km,2,Risiko Rendah,-0.07710564536323647,1.0680346985201312
250,60,0.0,Travel_Rarely,422,Research & Development,7,3,Life Sciences,1,1,Female,41,3,5,Manager,1,Married,19566,3854,5,Y,No,11,3,4,80,0,33,5,1,29,8,11,10,Sangat Tinggi (>15000),> 5 Tahun,50+,6-10 km,2,Risiko Rendah,1.6231654677365353,1.6104878747409688
251,32,0.0,Travel_Rarely,601,Sales,7,5,Marketing,1,4,Male,97,3,2,Sales Executive,4,Married,9204,23343,4,Y,No,12,3,3,80,1,7,3,2,4,3,0,3,Sedang (5000-10000),Baru Dipromosikan,30-39,6-10 km,2,Risiko Rendah,0.2079900630368734,-1.096470386509078
252,28,,Travel_Rarely,1475,Sales,13,2,Marketing,1,4,Female,84,3,2,Sales Executive,3,Single,9854,23352,3,Y,Yes,11,3,4,80,0,6,0,3,2,0,2,2,Sedang (5000-10000),1-2 Tahun,< 30,11-20 km,0,,1.7536677379529388,-4.181221021327398
253,36,0.0,Travel_Rarely,188,Research & Development,7,4,Other,1,2,Male,65,3,1,Research Scientist,4,Single,4678,23293,2,Y,No,18,3,3,80,0,8,6,3,6,2,0,1,Rendah (< 5000),Baru Dipromosikan,30-39,6-10 km,2,Risiko Rendah,-0.21703515213015426,0.03128220022383464
254,45,,Travel_Rarely,176,Human Resources,4,3,Life Sciences,1,3,Female,56,1,3,Human Resources,3,Married,9756,6595,4,Y,No,21,4,3,80,2,9,2,4,5,0,0,3,Sedang (5000-10000),Baru Dipromosikan,40-49,0-5 km,2,Risiko Rendah,0.9303064443623573,-1.2507236063655924
255,32,0.0,Non-Travel,1109,Research & Development,29,4,Medical,1,4,Female,69,3,1,Laboratory Technician,3,Single,4025,11135,9,Y,No,12,3,2,80,0,10,2,3,8,7,7,7,Rendah (< 5000),> 5 Tahun,30-39,21-30 km,2,Risiko Rendah,-0.43522546463841094,0.652542434507899
256,42,0.0,Travel_Rarely,1147,Human Resources,10,3,Human Resources,1,3,Female,31,3,4,Manager,1,Married,16799,16616,0,Y,No,14,3,3,80,1,21,5,3,20,7,0,9,Sangat Tinggi (>15000),Baru Dipromosikan,40-49,6-10 km,2,Risiko Rendah,1.132057712409901,-0.6532452463859326
257,46,,Travel_Rarely,1277,Sales,2,3,Life Sciences,1,3,Male,74,3,3,Sales Executive,4,Divorced,10368,5596,4,Y,Yes,12,3,2,80,1,13,5,2,10,6,0,3,Tinggi (10000-15000),Baru Dipromosikan,40-49,0-5 km,2,Risiko Rendah,1.1760532367268688,-0.3265880414657831
258,40,1.0,Travel_Rarely,575,Sales,22,2,Marketing,1,3,Male,68,2,2,Sales Executive,3,Married,6380,6110,2,Y,Yes,12,3,1,80,2,8,6,3,6,4,1,0,Sedang (5000-10000),1-2 Tahun,40-49,21-30 km,2,Risiko Rendah,-1.2757288715848456,-0.664451759445951
259,39,,Travel_Rarely,835,Research & Development,19,4,Other,1,4,Male,41,3,2,Research Scientist,4,Divorced,3902,5141,8,Y,No,14,3,2,80,3,7,2,3,2,2,2,2,Rendah (< 5000),1-2 Tahun,30-39,11-20 km,0,,3.329855160107029,-2.6631539452777084
260,25,1.0,Travel_Rarely,240,Sales,5,3,Marketing,1,3,Male,46,2,2,Sales Executive,3,Single,5744,26959,1,Y,Yes,11,3,4,80,0,6,1,3,6,4,0,3,Sedang (5000-10000),Baru Dipromosikan,< 30,0-5 km,2,Risiko Rendah,-0.9227811962826985,-1.7166936253321994
261,29,,Travel_Rarely,469,Sales,10,3,Medical,1,3,Male,42,2,2,Sales Executive,3,Single,5869,23413,9,Y,No,11,3,3,80,0,8,2,3,5,2,1,4,Sedang (5000-10000),1-2 Tahun,< 30,6-10 km,2,Risiko Rendah,0.6888517263201718,-0.46800137737338265
262,24,0.0,Travel_Rarely,1127,Research & Development,18,1,Life Sciences,1,2,Male,52,3,1,Laboratory Technician,3,Married,2774,13257,0,Y,No,12,3,3,80,1,6,2,3,5,3,1,2,Rendah (< 5000),1-2 Tahun,< 30,11-20 km,2,Risiko Rendah,-0.31537510313362704,0.7944767764311836
263,35,0.0,Travel_Rarely,1137,Research & Development,21,1,Life Sciences,1,4,Female,51,3,2,Healthcare Representative,4,Married,4014,19170,1,Y,Yes,25,4,4,80,1,10,2,1,10,6,0,7,Rendah (< 5000),Baru Dipromosikan,30-39,21-30 km,2,Risiko Rendah,0.32650528072437907,-0.1688139405448166
264,48,0.0,Travel_Rarely,817,Sales,2,1,Marketing,1,2,Male,56,4,2,Sales Executive,2,Married,8120,18597,3,Y,No,12,3,4,80,0,12,3,3,2,2,2,2,Sedang (5000-10000),1-2 Tahun,40-49,0-5 km,0,,3.6941371086317716,-2.0274869950942223
265,50,0.0,Travel_Rarely,1126,Research & Development,1,2,Medical,1,4,Male,66,3,4,Research Director,4,Divorced,17399,6615,9,Y,No,22,4,3,80,1,32,1,2,5,4,1,3,Sangat Tinggi (>15000),1-2 Tahun,50+,0-5 km,2,Risiko Rendah,1.2233389534568377,-1.7021926912626053
266,54,0.0,Travel_Rarely,685,Research & Development,3,3,Life Sciences,1,4,Male,85,3,4,Research Director,4,Married,17779,23474,3,Y,No,14,3,1,80,0,36,2,3,10,9,0,9,Sangat Tinggi (>15000),Baru Dipromosikan,50+,0-5 km,2,Risiko Rendah,1.3728889647273252,-0.5102786633771428
267,30,0.0,Travel_Rarely,202,Sales,2,1,Technical Degree,1,3,Male,72,3,1,Sales Representative,2,Married,2476,17434,1,Y,No,18,3,1,80,1,1,3,3,1,0,0,0,Rendah (< 5000),Baru Dipromosikan,30-39,0-5 km,0,,2.4709112952115433,-1.5862682927643497
268,31,1.0,Travel_Rarely,542,Sales,20,3,Life Sciences,1,2,Female,71,1,2,Sales Executive,3,Married,4559,24788,3,Y,Yes,11,3,3,80,1,4,2,3,2,2,2,2,Rendah (< 5000),1-2 Tahun,30-39,11-20 km,0,,2.2583355629116855,-3.823789153795699
269,39,1.0,Travel_Rarely,1162,Sales,3,2,Medical,1,4,Female,41,3,2,Sales Executive,3,Married,5238,17778,4,Y,Yes,18,3,1,80,0,12,3,2,1,0,0,0,Sedang (5000-10000),Baru Dipromosikan,30-39,0-5 km,2,Risiko Rendah,0.33048868390168856,0.008557343026882954
270,51,1.0,Travel_Frequently,1150,Research & Development,8,4,Life Sciences,1,1,Male,53,1,3,Manufacturing Director,4,Single,10650,25150,2,Y,No,15,3,4,80,0,18,2,3,4,2,0,3,Tinggi (10000-15000),Baru Dipromosikan,50+,6-10 km,2,Risiko Rendah,1.4850577230887254,-0.9352420731288621
271,44,0.0,Non-Travel,981,Research & Development,5,3,Life Sciences,1,3,Male,90,2,1,Laboratory Technician,3,Single,3162,7973,3,Y,No,14,3,4,80,0,7,5,3,5,2,0,3,Rendah (< 5000),Baru Dipromosikan,40-49,0-5 km,2,Risiko Rendah,-0.634948258060932,-0.449975354633382
272,50,0.0,Travel_Rarely,989,Research & Development,7,2,Medical,1,2,Female,43,2,5,Research Director,3,Divorced,18740,16701,5,Y,Yes,12,3,4,80,1,29,2,2,27,3,13,8,Sangat Tinggi (>15000),> 5 Tahun,50+,6-10 km,2,Risiko Rendah,1.0478793370145265,0.13232009016662605
273,23,,Travel_Rarely,507,Research & Development,20,1,Life Sciences,1,1,Male,97,3,2,Laboratory Technician,3,Single,2272,24812,0,Y,No,14,3,2,80,0,5,2,3,4,3,1,2,Rendah (< 5000),1-2 Tahun,< 30,11-20 km,2,Risiko Rendah,1.2298886299748197,1.129796739256296
274,32,0.0,Travel_Rarely,548,Research & Development,1,3,Life Sciences,1,2,Male,66,3,2,Research Scientist,2,Married,6220,7346,1,Y,No,17,3,2,80,2,10,3,3,10,4,0,9,Sedang (5000-10000),Baru Dipromosikan,30-39,0-5 km,2,Risiko Rendah,1.8884720237540755,1.374913654759839
275,44,0.0,Travel_Rarely,1199,Research & Development,4,2,Life Sciences,1,3,Male,92,4,5,Manager,1,Divorced,19190,17477,1,Y,No,14,3,4,80,2,26,4,2,25,9,14,13,Sangat Tinggi (>15000),> 5 Tahun,40-49,0-5 km,2,Risiko Rendah,1.2853527782029162,1.6428572186949697
276,40,,Travel_Rarely,1322,Research & Development,2,4,Life Sciences,1,3,Male,52,2,1,Research Scientist,3,Single,2809,2725,2,Y,No,14,3,4,80,0,8,2,3,2,2,2,2,Rendah (< 5000),1-2 Tahun,40-49,0-5 km,1,Risiko Sedang,-13.699597178444158,8.750020899123783
