EmployeeId,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,SalaryCategory,PromotionCategory,AgeGroup,DistanceCategory,OverTime_Numeric,Income_Level,Satisfaction_Index,Career_Progress,Stability_Factor,Work_Life_Balance_Impact,Distance_Strain,Promotion_Expectation,Experience_vs_Tenure,Loyalty_Index,Compensation_Satisfaction,Turnover_Risk,Career_Stagnation,Cluster,Cluster_Label,Dim1,Dim2
150,43,0.0,Travel_Frequently,957,Research & Development,28,3,Medical,1,2,Female,72,4,1,Research Scientist,3,Single,4739,16090,4,Y,No,12,3,4,80,0,18,2,3,3,2,1,2,Rendah (< 5000),1-2 Tahun,40-49,21-30 km,0,4739.0,3.0,0.5,0.6,3,9.032258064516128,0.05263157894736842,0.7894736842105263,1.8,249.42105263157896,0.0,0.25,0,Risiko Rendah (Cluster 0),-26.367321751961516,-0.25175516103125295
151,29,0.0,Travel_Rarely,1246,Sales,19,3,Life Sciences,1,3,Male,77,2,2,Sales Executive,3,Divorced,8620,23757,1,Y,No,14,3,3,80,2,10,3,3,10,7,0,4,Sedang (5000-10000),Baru Dipromosikan,< 30,11-20 km,0,4310.0,3.0,2.0,5.0,3,6.129032258064516,0.18181818181818182,0.0,15.0,391.8181818181818,0.0,0.0,0,Risiko Rendah (Cluster 0),-26.367942175108443,-0.24290476883799791
152,30,0.0,Travel_Rarely,1465,Research & Development,1,3,Medical,1,4,Male,63,3,1,Research Scientist,2,Married,3579,9369,0,Y,Yes,21,4,1,80,1,12,2,3,11,9,5,7,Rendah (< 5000),3-5 Tahun,30-39,0-5 km,1,3579.0,2.5,0.16666666666666666,11.0,0,0.3225806451612903,0.07692307692307693,0.07692307692307693,22.0,275.3076923076923,0.16129032258064516,0.4166666666666667,0,Risiko Rendah (Cluster 0),-26.34247039065602,-0.14526891473880008
153,33,0.0,Non-Travel,722,Sales,17,3,Life Sciences,1,4,Male,38,3,4,Manager,3,Single,17444,20489,1,Y,No,11,3,4,80,0,10,2,3,10,8,6,0,Sangat Tinggi (>15000),> 5 Tahun,30-39,11-20 km,0,4361.0,3.5,0.5714285714285714,5.0,3,5.483870967741935,0.36363636363636365,0.0,15.0,396.45454545454544,0.0,0.5454545454545454,0,Risiko Rendah (Cluster 0),-26.368142700243883,-0.2308789480890341
154,43,0.0,Travel_Rarely,177,Research & Development,8,3,Life Sciences,1,1,Female,55,3,2,Manufacturing Director,2,Divorced,4765,23814,4,Y,No,21,4,3,80,1,4,2,4,1,0,0,0,Rendah (< 5000),Baru Dipromosikan,40-49,6-10 km,0,2382.5,2.5,2.0,0.2,4,1.9512195121951221,0.4,0.6,0.4,476.5,0.0,0.0,0,Risiko Rendah (Cluster 0),-26.3680189760242,-0.25041012262061846
155,42,0.0,Travel_Frequently,458,Research & Development,26,5,Medical,1,1,Female,60,3,3,Research Director,1,Married,13191,23281,3,Y,Yes,17,3,3,80,0,20,6,3,1,0,0,0,Tinggi (10000-15000),Baru Dipromosikan,40-49,21-30 km,1,4397.0,2.0,3.0,0.25,0,8.387096774193548,0.14285714285714285,0.9047619047619048,0.25,209.38095238095238,8.387096774193548,0.0,1,Risiko Tinggi (Cluster 1),1274.0448296791806,-126.82128046031049
156,37,0.0,Travel_Rarely,921,Research & Development,10,3,Medical,1,3,Female,98,3,1,Laboratory Technician,1,Married,3452,17663,6,Y,No,20,4,2,80,1,17,3,3,5,4,0,3,Rendah (< 5000),Baru Dipromosikan,30-39,6-10 km,0,3452.0,2.25,1.0,0.7142857142857143,3,3.225806451612903,0.05555555555555555,0.6666666666666666,0.7142857142857143,191.77777777777777,0.0,0.0,0,Risiko Rendah (Cluster 0),-26.367660477296646,-0.2522846967130375
157,56,0.0,Non-Travel,667,Research & Development,1,4,Life Sciences,1,3,Male,57,3,2,Healthcare Representative,3,Divorced,6306,26236,1,Y,No,21,4,1,80,1,13,2,2,13,12,1,9,Sedang (5000-10000),1-2 Tahun,50+,0-5 km,0,3153.0,2.25,1.0,6.5,2,0.47619047619047616,0.14285714285714285,0.0,19.5,225.21428571428572,0.0,0.07142857142857142,0,Risiko Rendah (Cluster 0),-26.36818066405011,-0.23849178011350647
158,27,0.0,Travel_Frequently,1131,Research & Development,15,3,Life Sciences,1,4,Female,77,2,1,Research Scientist,1,Married,4774,23844,0,Y,No,19,3,4,80,1,8,2,2,7,6,7,3,Rendah (< 5000),> 5 Tahun,< 30,11-20 km,0,4774.0,2.75,0.125,7.0,2,7.142857142857142,0.1111111111111111,0.1111111111111111,7.0,530.4444444444445,0.0,0.875,0,Risiko Rendah (Cluster 0),-26.367626836151366,-0.22696060637439158
159,26,0.0,Travel_Rarely,920,Human Resources,20,2,Medical,1,4,Female,69,3,1,Human Resources,2,Married,2148,6889,0,Y,Yes,11,3,3,80,0,6,3,3,5,1,1,4,Rendah (< 5000),1-2 Tahun,< 30,11-20 km,1,2148.0,3.0,0.5,5.0,0,6.451612903225806,0.14285714285714285,0.14285714285714285,10.0,306.85714285714283,3.225806451612903,0.16666666666666666,0,Risiko Rendah (Cluster 0),50.137609432662465,8.917626536299998
160,24,0.0,Travel_Frequently,535,Sales,24,3,Medical,1,4,Male,38,3,1,Sales Representative,4,Married,2400,5530,0,Y,No,13,3,3,80,2,3,3,3,2,2,2,1,Rendah (< 5000),1-2 Tahun,< 30,21-30 km,0,2400.0,3.5,0.3333333333333333,2.0,3,7.741935483870967,0.25,0.25,8.0,600.0,0.0,0.6666666666666666,0,Risiko Rendah (Cluster 0),-26.367969258512638,-0.2359248716313684
161,37,0.0,Non-Travel,1063,Research & Development,25,5,Medical,1,2,Female,72,3,2,Research Scientist,3,Married,4449,23866,3,Y,Yes,15,3,1,80,2,15,2,3,13,11,10,7,Rendah (< 5000),> 5 Tahun,30-39,21-30 km,1,2224.5,2.25,0.18181818181818182,3.25,0,8.064516129032258,0.125,0.125,9.75,139.03125,2.6881720430107525,0.7142857142857143,0,Risiko Rendah (Cluster 0),19.274274805534855,8.760074368965768
162,37,0.0,Travel_Rarely,558,Sales,2,3,Marketing,1,4,Male,75,3,2,Sales Executive,3,Married,9602,3010,4,Y,Yes,11,3,3,80,1,17,3,2,3,0,1,0,Sedang (5000-10000),1-2 Tahun,30-39,0-5 km,1,4801.0,3.0,1.0,0.6,0,0.9523809523809523,0.1111111111111111,0.7777777777777778,1.8,266.72222222222223,0.31746031746031744,0.25,0,Risiko Rendah (Cluster 0),-26.24058271848914,-0.3597427228045534
163,40,0.0,Travel_Frequently,1395,Research & Development,26,3,Medical,1,2,Female,54,3,2,Research Scientist,2,Divorced,5605,8504,1,Y,No,11,3,1,80,1,20,2,3,20,7,2,13,Sedang (5000-10000),1-2 Tahun,40-49,21-30 km,0,2802.5,2.0,0.6666666666666666,10.0,3,8.387096774193548,0.09523809523809523,0.0,20.0,133.45238095238096,0.0,0.09523809523809523,0,Risiko Rendah (Cluster 0),-26.367697138984816,-0.2247621989650676
164,34,0.0,Travel_Rarely,181,Research & Development,2,4,Medical,1,4,Male,97,4,1,Research Scientist,4,Married,2932,5586,0,Y,Yes,14,3,1,80,3,6,3,3,5,0,1,2,Rendah (< 5000),1-2 Tahun,30-39,0-5 km,1,2932.0,3.0,0.5,5.0,0,0.6451612903225806,0.14285714285714285,0.14285714285714285,20.0,418.85714285714283,0.16129032258064516,0.16666666666666666,0,Risiko Rendah (Cluster 0),-26.345044162112213,-0.19711042423910377
165,55,1.0,Travel_Rarely,436,Sales,2,1,Medical,1,3,Male,37,3,2,Sales Executive,4,Single,5160,21519,4,Y,No,16,3,3,80,0,12,3,2,9,7,7,3,Sedang (5000-10000),> 5 Tahun,50+,0-5 km,0,2580.0,3.0,0.25,1.8,2,0.9523809523809523,0.15384615384615385,0.23076923076923078,7.2,198.46153846153845,0.0,0.7,0,Risiko Rendah (Cluster 0),-26.36814209044356,-0.23736899625480237
166,34,0.0,Travel_Rarely,507,Sales,15,2,Medical,1,3,Female,66,3,2,Sales Executive,1,Single,6125,23553,1,Y,No,12,3,4,80,0,10,6,4,10,8,9,6,Sedang (5000-10000),> 5 Tahun,30-39,11-20 km,0,3062.5,3.0,0.2,5.0,4,3.658536585365854,0.18181818181818182,0.0,5.0,278.40909090909093,0.0,0.8181818181818182,0,Risiko Rendah (Cluster 0),-26.368051367137795,-0.2310755299602744
167,18,0.0,Travel_Rarely,812,Sales,10,3,Medical,1,4,Female,69,2,1,Sales Representative,3,Single,1200,9724,1,Y,No,12,3,1,80,0,0,2,3,0,0,0,0,Rendah (< 5000),Baru Dipromosikan,< 30,6-10 km,0,1200.0,2.75,1.0,0.0,3,3.225806451612903,1.0,0.0,0.0,1200.0,0.0,0.0,0,Risiko Rendah (Cluster 0),-26.368774529743625,-0.21715509719033915
168,41,0.0,Travel_Rarely,334,Sales,2,4,Life Sciences,1,4,Male,88,3,4,Manager,2,Single,16015,15896,1,Y,No,19,3,2,80,0,22,2,3,22,10,0,4,Sangat Tinggi (>15000),Baru Dipromosikan,40-49,0-5 km,0,4003.75,2.75,4.0,11.0,3,0.6451612903225806,0.17391304347826086,0.0,22.0,174.07608695652175,0.0,0.0,0,Risiko Rendah (Cluster 0),-26.368630378921218,-0.2402682547924886
169,44,0.0,Travel_Frequently,383,Sales,1,5,Marketing,1,1,Female,79,3,2,Sales Executive,3,Married,4768,9282,7,Y,No,12,3,3,80,1,11,4,2,1,0,0,0,Rendah (< 5000),Baru Dipromosikan,40-49,0-5 km,0,2384.0,2.25,2.0,0.125,2,0.47619047619047616,0.16666666666666666,0.8333333333333334,0.375,198.66666666666666,0.0,0.0,0,Risiko Rendah (Cluster 0),-26.367833107141553,-0.25483173247581936
170,42,0.0,Travel_Rarely,691,Sales,8,4,Marketing,1,3,Male,48,3,2,Sales Executive,2,Married,6825,21173,0,Y,No,11,3,4,80,1,10,2,3,9,7,4,2,Sedang (5000-10000),3-5 Tahun,40-49,6-10 km,0,3412.5,3.0,0.4,9.0,3,2.5806451612903225,0.18181818181818182,0.09090909090909091,18.0,310.22727272727275,0.0,0.4,0,Risiko Rendah (Cluster 0),-26.36823863601401,-0.23260297084575568
171,51,0.0,Travel_Rarely,313,Research & Development,3,3,Medical,1,4,Female,98,3,4,Healthcare Representative,2,Single,13734,7192,3,Y,No,18,3,3,80,0,21,6,3,7,7,1,0,Tinggi (10000-15000),1-2 Tahun,50+,0-5 km,0,3433.5,3.0,2.0,1.75,3,0.9677419354838709,0.18181818181818182,0.6363636363636364,3.5,156.0681818181818,0.0,0.125,0,Risiko Rendah (Cluster 0),-26.367966612581814,-0.25463593498716247
172,32,1.0,Travel_Rarely,515,Research & Development,1,3,Life Sciences,1,4,Male,62,2,1,Laboratory Technician,3,Single,3730,9571,0,Y,Yes,14,3,4,80,0,4,2,1,3,2,1,2,Rendah (< 5000),1-2 Tahun,30-39,0-5 km,1,3730.0,3.0,0.5,3.0,0,0.9090909090909091,0.2,0.2,9.0,746.0,0.30303030303030304,0.25,0,Risiko Rendah (Cluster 0),-26.259635704861754,-0.13214006573274983
173,42,0.0,Non-Travel,355,Research & Development,10,4,Technical Degree,1,3,Male,38,3,1,Research Scientist,3,Married,2936,6161,3,Y,No,22,4,2,80,2,10,1,2,6,3,3,3,Rendah (< 5000),3-5 Tahun,40-49,6-10 km,0,2936.0,2.5,0.25,1.5,2,4.761904761904762,0.09090909090909091,0.36363636363636365,4.5,266.90909090909093,0.0,0.42857142857142855,0,Risiko Rendah (Cluster 0),-26.367730155821018,-0.2420801594013723
174,31,0.0,Travel_Rarely,688,Sales,7,3,Life Sciences,1,3,Male,44,2,3,Manager,4,Divorced,11557,25291,9,Y,No,21,4,3,80,1,10,3,2,5,4,0,1,Tinggi (10000-15000),Baru Dipromosikan,30-39,6-10 km,0,3852.3333333333335,3.0,3.0,0.5,2,3.333333333333333,0.2727272727272727,0.45454545454545453,2.0,350.21212121212125,0.0,0.0,0,Risiko Rendah (Cluster 0),-26.367908242298338,-0.2538480103927892
175,31,0.0,Travel_Frequently,853,Research & Development,1,1,Life Sciences,1,3,Female,96,3,2,Manufacturing Director,1,Married,4148,11275,1,Y,No,12,3,3,80,1,4,1,3,4,3,0,3,Rendah (< 5000),Baru Dipromosikan,30-39,0-5 km,0,2074.0,2.5,2.0,2.0,3,0.3225806451612903,0.4,0.0,2.0,414.8,0.0,0.0,0,Risiko Rendah (Cluster 0),-26.368132025562403,-0.24602798049808966
176,30,1.0,Travel_Frequently,109,Research & Development,5,3,Medical,1,2,Female,60,3,1,Laboratory Technician,2,Single,2422,25725,0,Y,No,17,3,1,80,0,4,3,3,3,2,1,2,Rendah (< 5000),1-2 Tahun,30-39,0-5 km,0,2422.0,2.0,0.5,3.0,3,1.6129032258064515,0.2,0.2,6.0,484.4,0.0,0.25,0,Risiko Rendah (Cluster 0),-26.367988785431827,-0.2433756633001111
177,36,0.0,Travel_Rarely,329,Research & Development,2,3,Life Sciences,1,4,Female,96,3,1,Research Scientist,3,Married,2543,11868,4,Y,No,13,3,2,80,1,6,3,3,2,2,2,2,Rendah (< 5000),1-2 Tahun,30-39,0-5 km,0,2543.0,3.0,0.3333333333333333,0.4,3,0.6451612903225806,0.14285714285714285,0.5714285714285714,1.2,363.2857142857143,0.0,0.6666666666666666,0,Risiko Rendah (Cluster 0),-26.368133204816903,-0.24500658989553187
178,28,0.0,Travel_Rarely,895,Research & Development,15,2,Life Sciences,1,1,Male,50,3,1,Laboratory Technician,3,Divorced,2207,22482,1,Y,No,16,3,4,80,1,4,5,2,4,2,2,2,Rendah (< 5000),1-2 Tahun,< 30,11-20 km,0,2207.0,2.5,0.3333333333333333,2.0,2,7.142857142857142,0.2,0.0,6.0,441.4,0.0,0.4,0,Risiko Rendah (Cluster 0),-26.367714411752367,-0.23787215235370535
179,30,0.0,Travel_Rarely,1176,Research & Development,20,3,Other,1,3,Male,85,3,2,Manufacturing Director,1,Married,9957,9096,0,Y,No,15,3,3,80,1,7,1,2,6,2,0,2,Sedang (5000-10000),Baru Dipromosikan,30-39,11-20 km,0,4978.5,2.25,2.0,6.0,2,9.523809523809524,0.25,0.125,6.0,622.3125,0.0,0.0,0,Risiko Rendah (Cluster 0),-26.367217573599948,-0.244295443358337
180,35,0.0,Travel_Rarely,890,Sales,2,3,Marketing,1,4,Female,97,3,1,Sales Representative,4,Married,2014,9687,1,Y,No,13,3,1,80,0,2,3,3,2,2,2,2,Rendah (< 5000),1-2 Tahun,30-39,0-5 km,0,2014.0,3.0,0.3333333333333333,1.0,3,0.6451612903225806,0.3333333333333333,0.0,4.0,671.3333333333334,0.0,0.6666666666666666,0,Risiko Rendah (Cluster 0),-26.36831987918158,-0.2399375986916597
181,59,0.0,Travel_Rarely,1429,Research & Development,18,4,Medical,1,4,Male,67,3,3,Manufacturing Director,4,Single,10512,20002,6,Y,No,12,3,4,80,0,25,6,2,9,7,5,4,Tinggi (10000-15000),3-5 Tahun,50+,11-20 km,0,3504.0,3.5,0.5,1.2857142857142858,2,8.571428571428571,0.11538461538461539,0.6153846153846154,5.142857142857143,134.76923076923077,0.0,0.5,0,Risiko Rendah (Cluster 0),-26.367558827120757,-0.2425944494770458
182,39,0.0,Non-Travel,1485,Research & Development,25,2,Life Sciences,1,3,Male,71,3,3,Healthcare Representative,3,Married,10920,3449,3,Y,No,21,4,2,80,1,13,2,3,6,4,0,5,Tinggi (10000-15000),Baru Dipromosikan,30-39,21-30 km,0,3640.0,2.75,3.0,1.5,3,8.064516129032258,0.21428571428571427,0.5,4.5,260.0,0.0,0.0,0,Risiko Rendah (Cluster 0),-26.36740563454368,-0.2571988883290668
183,27,0.0,Travel_Rarely,1054,Research & Development,8,3,Medical,1,3,Female,67,3,1,Research Scientist,4,Single,3445,6152,1,Y,No,11,3,3,80,0,6,5,2,6,2,1,4,Rendah (< 5000),1-2 Tahun,< 30,6-10 km,0,3445.0,3.0,0.5,3.0,2,3.8095238095238093,0.14285714285714285,0.0,12.0,492.14285714285717,0.0,0.14285714285714285,0,Risiko Rendah (Cluster 0),-26.3680946126434,-0.2395857296442877
184,29,0.0,Travel_Frequently,442,Sales,2,2,Life Sciences,1,2,Male,44,3,2,Sales Executive,4,Single,4554,20260,1,Y,No,18,3,1,80,0,10,3,2,10,7,0,9,Rendah (< 5000),Baru Dipromosikan,< 30,0-5 km,0,2277.0,2.25,2.0,5.0,2,0.9523809523809523,0.18181818181818182,0.0,20.0,207.0,0.0,0.0,0,Risiko Rendah (Cluster 0),-26.36819901662584,-0.24247855728002823
185,34,1.0,Travel_Frequently,988,Human Resources,23,3,Human Resources,1,2,Female,43,3,3,Human Resources,1,Divorced,9950,11533,9,Y,Yes,15,3,3,80,3,11,2,3,3,2,0,2,Sedang (5000-10000),Baru Dipromosikan,30-39,21-30 km,1,3316.6666666666665,2.25,3.0,0.3,0,7.419354838709677,0.25,0.6666666666666666,0.3,276.38888888888886,7.419354838709677,0.0,1,Risiko Tinggi (Cluster 1),874.8825939673529,-59.69527611894799
186,36,0.0,Travel_Rarely,506,Research & Development,3,3,Technical Degree,1,3,Male,30,3,2,Research Scientist,2,Single,4485,26285,4,Y,No,12,3,4,80,0,10,2,3,8,0,7,7,Rendah (< 5000),> 5 Tahun,30-39,0-5 km,0,2242.5,3.0,0.25,1.6,3,0.9677419354838709,0.18181818181818182,0.18181818181818182,3.2,203.86363636363637,0.0,0.7777777777777778,0,Risiko Rendah (Cluster 0),-26.36814495254045,-0.23851728984174206
187,30,0.0,Travel_Rarely,201,Research & Development,5,3,Technical Degree,1,4,Female,84,3,1,Research Scientist,1,Divorced,3204,10415,5,Y,No,14,3,4,80,1,8,3,3,3,2,2,2,Rendah (< 5000),1-2 Tahun,30-39,0-5 km,0,3204.0,3.0,0.3333333333333333,0.5,3,1.6129032258064515,0.1111111111111111,0.5555555555555556,0.5,356.0,0.0,0.5,0,Risiko Rendah (Cluster 0),-26.368010158548845,-0.2454820535507099
188,34,0.0,Travel_Rarely,704,Sales,28,3,Marketing,1,4,Female,95,2,2,Sales Executive,3,Married,6712,8978,1,Y,No,21,4,4,80,2,8,2,3,8,7,1,7,Sedang (5000-10000),1-2 Tahun,30-39,21-30 km,0,3356.0,3.5,1.0,4.0,3,9.032258064516128,0.2222222222222222,0.0,12.0,372.8888888888889,0.0,0.1111111111111111,0,Risiko Rendah (Cluster 0),-26.367788599132602,-0.23795816657117627
189,27,0.0,Travel_Rarely,269,Research & Development,5,1,Technical Degree,1,3,Male,42,2,3,Research Director,4,Divorced,12808,8842,1,Y,Yes,16,3,2,80,1,9,3,3,9,8,0,8,Tinggi (10000-15000),Baru Dipromosikan,< 30,0-5 km,1,4269.333333333333,3.0,3.0,4.5,0,1.6129032258064515,0.3,0.0,18.0,426.9333333333333,0.4032258064516129,0.0,0,Risiko Rendah (Cluster 0),-26.14577888687798,-0.2771826454028567
190,43,0.0,Travel_Rarely,1001,Research & Development,7,3,Life Sciences,1,3,Female,43,3,3,Healthcare Representative,1,Married,9985,9262,8,Y,No,16,3,1,80,1,10,1,2,1,0,0,0,Sedang (5000-10000),Baru Dipromosikan,40-49,6-10 km,0,3328.3333333333335,1.75,3.0,0.1111111111111111,2,3.333333333333333,0.2727272727272727,0.8181818181818182,0.1111111111111111,302.57575757575756,0.0,0.0,0,Risiko Rendah (Cluster 0),-26.367344199266917,-0.2622692081952431
191,38,0.0,Travel_Rarely,343,Research & Development,15,2,Life Sciences,1,3,Male,92,2,3,Research Director,4,Divorced,11510,15682,0,Y,Yes,14,3,2,80,1,12,3,3,11,10,2,9,Tinggi (10000-15000),1-2 Tahun,30-39,11-20 km,1,3836.6666666666665,3.0,1.0,11.0,0,4.838709677419355,0.23076923076923078,0.07692307692307693,44.0,295.12820512820514,1.2096774193548387,0.16666666666666666,0,Risiko Rendah (Cluster 0),-21.8551863238807,1.6534935783450215
192,36,0.0,Travel_Rarely,557,Sales,3,3,Medical,1,1,Female,94,2,3,Sales Executive,4,Married,7644,12695,0,Y,No,19,3,3,80,2,10,2,3,9,7,3,4,Sedang (5000-10000),3-5 Tahun,30-39,0-5 km,0,2548.0,2.75,0.75,9.0,3,0.9677419354838709,0.2727272727272727,0.09090909090909091,36.0,231.63636363636363,0.0,0.3,0,Risiko Rendah (Cluster 0),-26.368670506266604,-0.23050393294954932
193,39,0.0,Travel_Frequently,711,Research & Development,4,3,Medical,1,1,Female,81,3,2,Manufacturing Director,3,Single,5042,3140,0,Y,No,13,3,4,80,0,10,2,1,9,2,3,8,Sedang (5000-10000),3-5 Tahun,30-39,0-5 km,0,2521.0,2.25,0.5,9.0,1,3.6363636363636362,0.18181818181818182,0.09090909090909091,27.0,229.1818181818182,0.0,0.3,0,Risiko Rendah (Cluster 0),-26.368087827608086,-0.22831367019207863
194,31,0.0,Travel_Frequently,793,Sales,20,3,Life Sciences,1,3,Male,67,4,1,Sales Representative,4,Married,2791,21981,0,Y,No,12,3,1,80,1,3,4,3,2,2,2,2,Rendah (< 5000),1-2 Tahun,30-39,11-20 km,0,2791.0,2.75,0.3333333333333333,2.0,3,6.451612903225806,0.25,0.25,8.0,697.75,0.0,0.6666666666666666,0,Risiko Rendah (Cluster 0),-26.367891413095265,-0.23726605481116586
195,30,0.0,Travel_Rarely,501,Sales,27,5,Marketing,1,3,Male,99,3,2,Sales Executive,4,Divorced,5304,25275,7,Y,No,23,4,4,80,1,10,2,2,8,7,7,7,Sedang (5000-10000),> 5 Tahun,30-39,21-30 km,0,2652.0,3.25,0.25,1.0,2,12.857142857142856,0.18181818181818182,0.18181818181818182,4.0,241.0909090909091,0.0,0.7777777777777778,0,Risiko Rendah (Cluster 0),-26.367345710277544,-0.22983524697443247
196,44,0.0,Travel_Rarely,1448,Sales,28,3,Medical,1,4,Female,53,4,4,Sales Executive,4,Married,13320,11737,3,Y,Yes,18,3,3,80,1,23,2,3,12,11,11,11,Tinggi (10000-15000),> 5 Tahun,40-49,21-30 km,1,3330.0,3.5,0.3333333333333333,3.0,0,9.032258064516128,0.16666666666666666,0.4583333333333333,12.0,138.75,2.258064516129032,0.8461538461538461,0,Risiko Rendah (Cluster 0),1.2013800612748675,4.936547734664211
197,23,0.0,Travel_Rarely,650,Research & Development,9,1,Medical,1,2,Male,37,3,1,Laboratory Technician,1,Married,2500,4344,1,Y,No,14,3,4,80,1,5,2,4,4,3,0,2,Rendah (< 5000),Baru Dipromosikan,< 30,6-10 km,0,2500.0,2.75,1.0,2.0,4,2.1951219512195124,0.16666666666666666,0.16666666666666666,2.0,416.6666666666667,0.0,0.0,0,Risiko Rendah (Cluster 0),-26.36808399324907,-0.2458848627242736
198,41,0.0,Travel_Rarely,337,Sales,8,3,Marketing,1,3,Female,54,3,2,Sales Executive,2,Married,4393,26841,5,Y,No,21,4,3,80,1,14,3,3,5,4,1,4,Rendah (< 5000),1-2 Tahun,40-49,6-10 km,0,2196.5,2.75,1.0,0.8333333333333334,3,2.5806451612903225,0.13333333333333333,0.6,1.6666666666666667,146.43333333333334,0.0,0.16666666666666666,0,Risiko Rendah (Cluster 0),-26.36788370556728,-0.2490452955720294
199,21,1.0,Travel_Rarely,1334,Research & Development,10,3,Life Sciences,1,3,Female,36,2,1,Laboratory Technician,1,Single,1416,17258,1,Y,No,13,3,1,80,0,1,6,2,1,0,1,0,Rendah (< 5000),1-2 Tahun,< 30,6-10 km,0,1416.0,1.75,0.5,0.5,2,4.761904761904762,0.5,0.0,0.5,708.0,0.0,0.5,0,Risiko Rendah (Cluster 0),-26.36780268227033,-0.23510747038781069
200,45,0.0,Non-Travel,1238,Research & Development,1,1,Life Sciences,1,3,Male,74,2,3,Healthcare Representative,3,Married,10748,3395,3,Y,No,23,4,4,80,1,25,3,2,23,15,14,4,Tinggi (10000-15000),> 5 Tahun,40-49,0-5 km,0,3582.6666666666665,3.0,0.2,5.75,2,0.47619047619047616,0.11538461538461539,0.07692307692307693,17.25,137.7948717948718,0.0,0.5833333333333334,0,Risiko Rendah (Cluster 0),-26.368748679235626,-0.20780397867119377
201,40,0.0,Travel_Rarely,1342,Sales,9,2,Medical,1,1,Male,47,3,2,Sales Executive,1,Married,5473,19345,0,Y,No,12,3,4,80,0,9,5,4,8,4,7,1,Sedang (5000-10000),> 5 Tahun,40-49,6-10 km,0,2736.5,2.5,0.25,8.0,4,2.1951219512195124,0.2,0.1,8.0,273.65,0.0,0.7777777777777778,0,Risiko Rendah (Cluster 0),-26.36807905000055,-0.2331950742850308
202,44,0.0,Travel_Rarely,1037,Research & Development,1,3,Medical,1,2,Male,42,3,1,Research Scientist,4,Single,2436,13422,6,Y,Yes,12,3,3,80,0,6,2,3,4,3,1,2,Rendah (< 5000),1-2 Tahun,40-49,0-5 km,1,2436.0,3.0,0.5,0.5714285714285714,0,0.3225806451612903,0.14285714285714285,0.2857142857142857,2.2857142857142856,348.0,0.08064516129032258,0.2,0,Risiko Rendah (Cluster 0),-26.362195175426532,-0.24134626942188128
203,31,0.0,Travel_Rarely,1222,Research & Development,11,4,Life Sciences,1,4,Male,48,3,1,Research Scientist,4,Married,2356,14871,3,Y,Yes,19,3,2,80,1,8,2,3,6,4,0,2,Rendah (< 5000),Baru Dipromosikan,30-39,11-20 km,1,2356.0,3.25,1.0,1.5,0,3.5483870967741935,0.1111111111111111,0.2222222222222222,6.0,261.77777777777777,0.8870967741935484,0.0,0,Risiko Rendah (Cluster 0),-24.529012774305738,-0.00263195776976655
204,46,1.0,Travel_Rarely,377,Sales,9,3,Marketing,1,1,Male,52,3,3,Sales Executive,4,Divorced,10096,15986,4,Y,No,11,3,1,80,1,28,1,4,7,7,4,3,Tinggi (10000-15000),3-5 Tahun,40-49,6-10 km,0,3365.3333333333335,2.5,0.6,1.4,4,2.1951219512195124,0.10344827586206896,0.7241379310344828,5.6,116.04597701149426,0.0,0.5,0,Risiko Rendah (Cluster 0),-26.367957088997574,-0.24932523447571117
205,53,0.0,Travel_Rarely,346,Research & Development,6,3,Life Sciences,1,4,Male,86,3,2,Laboratory Technician,4,Single,2450,10919,2,Y,No,17,3,4,80,0,19,4,3,2,2,2,2,Rendah (< 5000),1-2 Tahun,50+,6-10 km,0,1225.0,3.75,0.6666666666666666,0.6666666666666666,3,1.9354838709677418,0.1,0.85,2.6666666666666665,61.25,0.0,0.6666666666666666,0,Risiko Rendah (Cluster 0),-26.368114923495813,-0.24724957102241243
206,49,0.0,Travel_Rarely,1418,Research & Development,1,3,Technical Degree,1,3,Female,36,3,1,Research Scientist,1,Married,3580,10554,2,Y,No,16,3,2,80,1,7,2,3,4,2,0,2,Rendah (< 5000),Baru Dipromosikan,40-49,0-5 km,0,3580.0,2.25,1.0,1.3333333333333333,3,0.3225806451612903,0.125,0.375,1.3333333333333333,447.5,0.0,0.0,0,Risiko Rendah (Cluster 0),-26.36793382677541,-0.2490321660862508
207,46,0.0,Travel_Rarely,1003,Research & Development,8,4,Life Sciences,1,4,Female,74,2,2,Research Scientist,1,Divorced,4615,21029,8,Y,Yes,23,4,1,80,3,19,2,3,16,13,1,7,Rendah (< 5000),1-2 Tahun,40-49,6-10 km,1,2307.5,2.25,1.0,1.7777777777777777,0,2.5806451612903225,0.1,0.15,1.7777777777777777,115.375,2.5806451612903225,0.058823529411764705,0,Risiko Rendah (Cluster 0),13.620408547541793,0.3623758750221724
