EmployeeId,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,SalaryCategory,PromotionCategory,AgeGroup,DistanceCategory,Cluster,Cluster_Label,tsne_1,tsne_2
328,43,0.0,Travel_Rarely,589,Research & Development,14,2,Life Sciences,1,2,Male,94,3,4,Research Director,1,Married,17159,5200,6,Y,No,24,4,3,80,1,22,3,3,4,1,1,0,Sangat Tinggi (>15000),1-2 Tahun,40-49,11-20 km,0,Risiko Sedang,40.43317794799805,-20.157470703125
329,29,0.0,Travel_Rarely,986,Research & Development,3,4,Medical,1,2,Male,93,2,3,Research Director,3,Married,11935,21526,1,Y,No,18,3,3,80,0,10,2,3,10,2,0,7,Tinggi (10000-15000),Baru Dipromosikan,< 30,0-5 km,0,Risiko Sedang,19.851835250854492,-9.771409034729004
330,30,0.0,Travel_Rarely,231,Sales,8,2,Other,1,3,Male,62,3,3,Sales Executive,3,Divorced,7264,9977,5,Y,No,11,3,1,80,1,10,2,4,8,4,7,7,Sedang (5000-10000),> 5 Tahun,30-39,6-10 km,2,,52.77175521850586,19.925872802734375
331,40,0.0,Travel_Frequently,530,Research & Development,1,4,Life Sciences,1,3,Male,78,2,4,Healthcare Representative,2,Married,13503,14115,1,Y,No,22,4,4,80,1,22,3,2,22,3,11,11,Tinggi (10000-15000),> 5 Tahun,40-49,0-5 km,2,,63.370182037353516,4.3789544105529785
332,30,,Travel_Rarely,1092,Research & Development,10,3,Medical,1,1,Female,64,3,3,Manufacturing Director,3,Single,9667,2739,9,Y,No,14,3,2,80,0,9,3,3,7,7,0,2,Sedang (5000-10000),Baru Dipromosikan,30-39,6-10 km,0,Risiko Sedang,18.046422958374023,-26.90280532836914
333,34,,Travel_Rarely,628,Research & Development,8,3,Medical,1,2,Male,82,4,2,Laboratory Technician,3,Married,4404,10228,2,Y,No,12,3,1,80,0,6,3,4,4,3,1,2,Rendah (< 5000),1-2 Tahun,30-39,6-10 km,6,,-18.00037384033203,-15.089168548583984
334,56,0.0,Travel_Frequently,906,Sales,6,3,Life Sciences,1,3,Female,86,4,4,Sales Executive,1,Married,13212,18256,9,Y,No,11,3,4,80,3,36,0,2,7,7,7,7,Tinggi (10000-15000),> 5 Tahun,50+,6-10 km,-1,,,
335,25,0.0,Travel_Rarely,1372,Sales,18,1,Life Sciences,1,1,Male,93,4,2,Sales Executive,3,Married,6232,12477,2,Y,No,11,3,2,80,0,6,3,2,3,2,1,2,Sedang (5000-10000),1-2 Tahun,< 30,11-20 km,4,Risiko Tinggi,-16.83596420288086,-2.8047447204589844
336,42,0.0,Non-Travel,179,Human Resources,2,5,Medical,1,4,Male,79,4,2,Human Resources,1,Married,6272,12858,7,Y,No,16,3,1,80,1,10,3,4,4,3,0,3,Sedang (5000-10000),Baru Dipromosikan,40-49,0-5 km,6,,2.0323779582977295,-27.742839813232422
337,32,0.0,Travel_Frequently,967,Sales,8,3,Marketing,1,2,Female,43,3,3,Sales Executive,4,Single,8998,15589,1,Y,No,14,3,4,80,0,9,2,3,9,8,3,7,Sedang (5000-10000),3-5 Tahun,30-39,6-10 km,7,Risiko Rendah,19.36663246154785,10.144149780273438
338,32,0.0,Travel_Frequently,430,Research & Development,24,4,Life Sciences,1,1,Male,80,3,2,Laboratory Technician,4,Married,5309,21146,1,Y,No,15,3,4,80,2,10,2,3,10,8,4,7,Sedang (5000-10000),3-5 Tahun,30-39,21-30 km,7,Risiko Rendah,31.258319854736328,11.441307067871094
339,55,0.0,Travel_Rarely,147,Research & Development,20,2,Technical Degree,1,2,Male,37,3,2,Laboratory Technician,4,Married,5415,15972,3,Y,Yes,19,3,4,80,1,12,4,3,10,7,0,8,Sedang (5000-10000),Baru Dipromosikan,50+,11-20 km,8,,-2.4997472763061523,22.910348892211914
340,39,,Travel_Rarely,1387,Research & Development,10,5,Medical,1,2,Male,76,3,2,Manufacturing Director,1,Married,5377,3835,2,Y,No,13,3,4,80,3,10,3,3,7,7,7,7,Sedang (5000-10000),> 5 Tahun,30-39,6-10 km,2,,43.86824417114258,20.713085174560547
341,44,,Travel_Frequently,1193,Research & Development,2,1,Medical,1,2,Male,86,3,3,Manufacturing Director,3,Single,10209,19719,5,Y,Yes,18,3,2,80,0,16,2,2,2,2,2,2,Tinggi (10000-15000),1-2 Tahun,40-49,0-5 km,8,,-7.553615093231201,36.43843460083008
342,41,,Non-Travel,552,Human Resources,4,3,Human Resources,1,3,Male,60,1,2,Human Resources,2,Married,6430,20794,6,Y,No,19,3,2,80,1,10,4,3,3,2,1,2,Sedang (5000-10000),1-2 Tahun,40-49,0-5 km,6,,-2.004347085952759,-38.45459747314453
343,27,0.0,Non-Travel,1277,Research & Development,8,5,Life Sciences,1,1,Male,87,1,1,Laboratory Technician,3,Married,4621,5869,1,Y,No,19,3,4,80,3,3,4,3,3,2,1,2,Rendah (< 5000),1-2 Tahun,< 30,6-10 km,1,,-39.5603141784668,1.9670780897140503
344,38,0.0,Travel_Frequently,1186,Research & Development,3,4,Other,1,3,Male,44,3,1,Research Scientist,3,Married,2821,2997,3,Y,No,16,3,1,80,1,8,2,3,2,2,2,2,Rendah (< 5000),1-2 Tahun,30-39,0-5 km,5,,-30.226821899414062,-23.427461624145508
345,37,0.0,Travel_Frequently,1231,Sales,21,2,Medical,1,3,Female,54,3,1,Sales Representative,4,Married,2973,21222,5,Y,No,15,3,2,80,1,10,3,3,5,4,0,0,Rendah (< 5000),Baru Dipromosikan,30-39,21-30 km,6,,-14.350912094116211,-28.357330322265625
346,36,,Travel_Frequently,1213,Human Resources,2,1,Human Resources,1,2,Male,94,2,2,Human Resources,4,Single,3886,4223,1,Y,No,21,4,4,80,0,10,2,2,10,1,0,8,Rendah (< 5000),Baru Dipromosikan,30-39,0-5 km,4,Risiko Tinggi,4.435934543609619,-3.8295814990997314
347,26,0.0,Travel_Frequently,496,Research & Development,11,2,Medical,1,1,Male,60,3,2,Healthcare Representative,1,Married,4741,22722,1,Y,Yes,13,3,3,80,1,5,3,3,5,3,3,3,Rendah (< 5000),3-5 Tahun,< 30,11-20 km,3,,-22.226587295532227,42.27246856689453
348,37,,Travel_Rarely,671,Research & Development,19,3,Life Sciences,1,3,Male,85,3,2,Manufacturing Director,3,Married,5768,26493,3,Y,No,17,3,1,80,3,9,2,2,4,3,0,2,Sedang (5000-10000),Baru Dipromosikan,30-39,11-20 km,6,,-8.317188262939453,-14.886319160461426
349,45,0.0,Travel_Rarely,252,Research & Development,1,3,Other,1,3,Male,70,4,5,Manager,4,Married,19202,15970,0,Y,No,11,3,3,80,1,25,2,3,24,0,1,7,Sangat Tinggi (>15000),1-2 Tahun,40-49,0-5 km,0,Risiko Sedang,58.45637130737305,-14.676118850708008
350,26,0.0,Travel_Rarely,1443,Sales,23,3,Marketing,1,3,Female,47,2,2,Sales Executive,4,Married,4157,21436,7,Y,Yes,19,3,3,80,1,5,2,2,2,2,0,0,Rendah (< 5000),Baru Dipromosikan,< 30,21-30 km,8,,-13.214569091796875,24.614023208618164
351,41,0.0,Travel_Rarely,802,Sales,9,1,Life Sciences,1,3,Male,96,3,3,Sales Executive,3,Divorced,8189,21196,3,Y,Yes,13,3,3,80,1,12,2,3,9,7,0,7,Sedang (5000-10000),Baru Dipromosikan,40-49,6-10 km,0,Risiko Sedang,23.649824142456055,-13.813531875610352
352,19,0.0,Travel_Rarely,645,Research & Development,9,2,Life Sciences,1,3,Male,54,3,1,Research Scientist,1,Single,2552,7172,1,Y,No,25,4,3,80,0,1,4,3,1,1,0,0,Rendah (< 5000),Baru Dipromosikan,< 30,6-10 km,1,,-37.55068588256836,9.554603576660156
353,40,0.0,Travel_Rarely,630,Sales,4,4,Marketing,1,3,Male,67,2,3,Sales Executive,4,Married,10855,8552,7,Y,No,11,3,1,80,1,15,2,2,12,11,2,11,Tinggi (10000-15000),1-2 Tahun,40-49,0-5 km,0,Risiko Sedang,33.46772766113281,-2.498279571533203
354,26,,Travel_Frequently,1096,Research & Development,6,3,Other,1,3,Male,61,4,1,Laboratory Technician,4,Married,2544,7102,0,Y,No,18,3,1,80,1,8,3,3,7,7,7,7,Rendah (< 5000),> 5 Tahun,< 30,6-10 km,2,,39.2672004699707,18.480056762695312
355,43,0.0,Travel_Frequently,559,Research & Development,10,4,Life Sciences,1,3,Female,82,2,2,Laboratory Technician,3,Divorced,5257,6227,1,Y,No,11,3,2,80,1,9,3,4,9,7,0,0,Sedang (5000-10000),Baru Dipromosikan,40-49,6-10 km,4,Risiko Tinggi,3.231571674346924,-0.6994324922561646
356,35,0.0,Non-Travel,727,Research & Development,3,3,Life Sciences,1,3,Male,41,2,1,Laboratory Technician,3,Married,1281,16900,1,Y,No,18,3,3,80,2,1,3,3,1,0,0,0,Rendah (< 5000),Baru Dipromosikan,30-39,0-5 km,1,,-38.738094329833984,-9.310556411743164
357,52,0.0,Travel_Rarely,621,Sales,3,4,Marketing,1,3,Male,31,2,4,Manager,1,Married,16856,10084,1,Y,No,11,3,1,80,0,34,3,4,34,6,1,16,Sangat Tinggi (>15000),1-2 Tahun,50+,0-5 km,-1,,,
358,49,0.0,Travel_Rarely,470,Research & Development,20,4,Medical,1,3,Female,96,3,2,Manufacturing Director,1,Married,6567,5549,1,Y,No,14,3,3,80,0,16,2,2,15,11,5,11,Sedang (5000-10000),3-5 Tahun,40-49,11-20 km,2,,36.53862380981445,25.38591957092285
359,37,0.0,Non-Travel,1413,Research & Development,5,2,Technical Degree,1,3,Male,84,4,1,Laboratory Technician,3,Single,3500,25470,0,Y,No,14,3,1,80,0,7,2,1,6,5,1,3,Rendah (< 5000),1-2 Tahun,30-39,0-5 km,1,,-24.363298416137695,-3.555265188217163
360,43,0.0,Travel_Frequently,313,Research & Development,21,3,Medical,1,4,Male,61,3,1,Laboratory Technician,4,Married,2258,15238,7,Y,No,20,4,1,80,1,8,1,3,3,2,1,2,Rendah (< 5000),1-2 Tahun,40-49,21-30 km,6,,-13.846148490905762,-29.375221252441406
361,22,,Travel_Rarely,581,Research & Development,1,2,Life Sciences,1,4,Male,63,3,1,Research Scientist,3,Single,3375,17624,0,Y,No,12,3,4,80,0,4,2,4,3,2,1,2,Rendah (< 5000),1-2 Tahun,< 30,0-5 km,1,,-48.96628952026367,-17.972970962524414
362,23,0.0,Travel_Rarely,541,Sales,2,1,Technical Degree,1,3,Male,62,3,1,Sales Representative,1,Divorced,2322,9518,3,Y,No,13,3,3,80,1,3,3,3,0,0,0,0,Rendah (< 5000),Baru Dipromosikan,< 30,0-5 km,5,,-32.98075866699219,-11.697717666625977
363,55,0.0,Travel_Rarely,836,Research & Development,8,3,Medical,1,4,Female,33,3,4,Manager,3,Divorced,14756,19730,2,Y,Yes,14,3,3,80,3,21,2,3,5,0,0,2,Tinggi (10000-15000),Baru Dipromosikan,50+,6-10 km,0,Risiko Sedang,33.43620681762695,-24.486480712890625
364,53,0.0,Travel_Rarely,102,Research & Development,23,4,Life Sciences,1,4,Female,72,3,4,Research Director,4,Single,14275,20206,6,Y,No,18,3,3,80,0,33,0,3,12,9,3,8,Tinggi (10000-15000),3-5 Tahun,50+,21-30 km,0,Risiko Sedang,47.57240676879883,-8.54859733581543
365,34,0.0,Travel_Frequently,669,Research & Development,1,3,Medical,1,4,Male,97,2,2,Healthcare Representative,1,Single,5343,25755,0,Y,No,20,4,3,80,0,14,3,3,13,9,4,9,Sedang (5000-10000),3-5 Tahun,30-39,0-5 km,7,Risiko Rendah,31.112098693847656,25.17858123779297
366,58,1.0,Travel_Rarely,289,Research & Development,2,3,Technical Degree,1,4,Male,51,3,1,Research Scientist,3,Single,2479,26227,4,Y,No,24,4,1,80,0,7,4,3,1,0,0,0,Rendah (< 5000),Baru Dipromosikan,50+,0-5 km,5,,-34.52950668334961,-27.31728744506836
367,34,0.0,Travel_Frequently,618,Research & Development,3,1,Life Sciences,1,1,Male,45,3,2,Healthcare Representative,4,Single,7756,22266,0,Y,No,17,3,3,80,0,7,1,2,6,2,0,4,Sedang (5000-10000),Baru Dipromosikan,30-39,0-5 km,4,Risiko Tinggi,-8.632414817810059,-2.183070659637451
368,30,0.0,Non-Travel,829,Research & Development,1,1,Life Sciences,1,3,Male,88,2,3,Manufacturing Director,3,Single,8474,20925,1,Y,No,22,4,3,80,0,12,2,3,11,8,5,8,Sedang (5000-10000),3-5 Tahun,30-39,0-5 km,2,,50.127235412597656,20.707324981689453
369,32,0.0,Travel_Rarely,120,Research & Development,6,5,Life Sciences,1,3,Male,43,3,1,Research Scientist,3,Single,3038,12430,3,Y,No,20,4,1,80,0,8,2,3,5,4,1,4,Rendah (< 5000),1-2 Tahun,30-39,6-10 km,5,,-29.993772506713867,-22.39569091796875
370,36,0.0,Travel_Rarely,1396,Research & Development,5,2,Life Sciences,1,4,Male,62,3,2,Laboratory Technician,2,Single,5914,9945,8,Y,No,16,3,4,80,0,16,3,4,13,11,3,7,Sedang (5000-10000),3-5 Tahun,30-39,0-5 km,7,Risiko Rendah,17.534000396728516,16.83275604248047
371,42,,Travel_Rarely,1142,Research & Development,8,3,Life Sciences,1,4,Male,81,3,1,Laboratory Technician,3,Single,3968,13624,4,Y,No,13,3,4,80,0,8,3,3,0,0,0,0,Rendah (< 5000),Baru Dipromosikan,40-49,6-10 km,5,,-42.33562469482422,-22.971790313720703
372,47,,Non-Travel,1162,Research & Development,1,1,Medical,1,3,Female,98,3,3,Research Director,2,Married,11957,17231,0,Y,No,18,3,1,80,2,14,3,1,13,8,5,12,Tinggi (10000-15000),3-5 Tahun,40-49,0-5 km,2,,35.784149169921875,31.192153930664062
373,40,0.0,Travel_Frequently,1184,Sales,2,4,Medical,1,2,Male,62,3,2,Sales Executive,2,Married,4327,25440,5,Y,No,12,3,4,80,3,5,2,3,0,0,0,0,Rendah (< 5000),Baru Dipromosikan,40-49,0-5 km,6,,-0.1259242594242096,-23.1500244140625
374,36,0.0,Non-Travel,1105,Research & Development,24,4,Life Sciences,1,2,Female,47,3,2,Laboratory Technician,2,Married,5674,6927,7,Y,No,15,3,3,80,1,11,3,3,9,8,0,8,Sedang (5000-10000),Baru Dipromosikan,30-39,21-30 km,6,,-7.142160415649414,-22.701810836791992
375,21,0.0,Travel_Rarely,391,Research & Development,15,2,Life Sciences,1,3,Male,96,3,1,Research Scientist,4,Single,1232,19281,1,Y,No,14,3,4,80,0,0,6,3,0,0,0,0,Rendah (< 5000),Baru Dipromosikan,< 30,11-20 km,1,,-44.76415252685547,12.513945579528809
376,36,,Non-Travel,301,Sales,15,4,Marketing,1,4,Male,88,1,2,Sales Executive,4,Divorced,5406,10436,1,Y,No,24,4,1,80,1,15,4,2,15,12,11,11,Sedang (5000-10000),> 5 Tahun,30-39,11-20 km,2,,58.97838592529297,12.058579444885254
377,34,0.0,Travel_Rarely,204,Sales,14,3,Technical Degree,1,3,Female,31,3,1,Sales Representative,3,Divorced,2579,2912,1,Y,Yes,18,3,4,80,2,8,3,3,8,2,0,6,Rendah (< 5000),Baru Dipromosikan,30-39,11-20 km,3,,-23.40812110900879,27.160964965820312
378,42,,Travel_Rarely,557,Research & Development,18,4,Life Sciences,1,4,Male,35,3,2,Research Scientist,1,Divorced,5410,11189,6,Y,Yes,17,3,3,80,1,9,3,2,4,3,1,2,Sedang (5000-10000),1-2 Tahun,40-49,11-20 km,8,,-9.024598121643066,33.55990982055664
379,34,0.0,Travel_Rarely,665,Research & Development,6,4,Other,1,1,Female,41,3,2,Research Scientist,3,Single,4809,12482,1,Y,No,14,3,3,80,0,16,3,3,16,13,2,10,Rendah (< 5000),1-2 Tahun,30-39,6-10 km,7,Risiko Rendah,27.38343048095703,16.841325759887695
380,60,,Travel_Rarely,370,Research & Development,1,4,Medical,1,3,Male,92,1,3,Healthcare Representative,4,Divorced,10883,20467,3,Y,No,20,4,3,80,1,19,2,4,1,0,0,0,Tinggi (10000-15000),Baru Dipromosikan,50+,0-5 km,0,Risiko Sedang,18.82016944885254,-19.259002685546875
381,39,0.0,Travel_Rarely,1383,Human Resources,2,3,Life Sciences,1,4,Female,42,2,2,Human Resources,4,Married,5204,7790,8,Y,No,11,3,3,80,2,13,2,3,5,4,0,4,Sedang (5000-10000),Baru Dipromosikan,30-39,0-5 km,6,,6.7077202796936035,-28.955442428588867
382,45,0.0,Travel_Rarely,549,Research & Development,8,4,Other,1,4,Male,75,3,2,Research Scientist,4,Married,3697,9278,9,Y,No,14,3,1,80,2,12,3,3,10,9,9,8,Rendah (< 5000),> 5 Tahun,40-49,6-10 km,2,,43.35154724121094,29.86907958984375
383,26,,Non-Travel,786,Research & Development,7,3,Medical,1,4,Male,76,3,1,Laboratory Technician,4,Single,2570,11925,1,Y,No,20,4,3,80,0,7,5,3,7,7,5,7,Rendah (< 5000),3-5 Tahun,< 30,6-10 km,2,,34.39365768432617,10.308608055114746
384,56,,Travel_Rarely,1443,Sales,11,5,Marketing,1,4,Female,89,2,2,Sales Executive,1,Married,5380,20328,4,Y,No,16,3,3,80,1,6,3,3,0,0,0,0,Sedang (5000-10000),Baru Dipromosikan,50+,11-20 km,6,,1.8333642482757568,-18.13800048828125
385,31,1.0,Travel_Frequently,307,Research & Development,29,2,Medical,1,3,Male,71,2,1,Laboratory Technician,2,Single,3479,11652,0,Y,No,11,3,2,80,0,6,2,4,5,4,1,4,Rendah (< 5000),1-2 Tahun,30-39,21-30 km,5,,-22.555904388427734,-11.652381896972656
386,38,0.0,Travel_Rarely,1035,Sales,3,4,Life Sciences,1,2,Male,42,3,2,Sales Executive,4,Single,6861,4981,8,Y,Yes,12,3,3,80,0,19,1,3,1,0,0,0,Sedang (5000-10000),Baru Dipromosikan,30-39,0-5 km,8,,-6.738626956939697,22.92608642578125
387,35,,Travel_Rarely,750,Research & Development,28,3,Life Sciences,1,2,Male,46,4,2,Laboratory Technician,3,Married,3407,25348,1,Y,No,17,3,4,80,2,10,3,2,10,9,6,8,Rendah (< 5000),> 5 Tahun,30-39,21-30 km,2,,42.74317169189453,13.918889999389648
388,31,0.0,Travel_Frequently,1327,Research & Development,3,4,Medical,1,2,Male,73,3,3,Research Director,3,Divorced,13675,13523,9,Y,No,12,3,1,80,1,9,3,3,2,2,2,2,Tinggi (10000-15000),1-2 Tahun,30-39,0-5 km,0,Risiko Sedang,25.563608169555664,-4.949337959289551
389,26,0.0,Travel_Rarely,991,Research & Development,6,3,Life Sciences,1,3,Female,71,3,1,Laboratory Technician,4,Married,2659,17759,1,Y,Yes,13,3,3,80,1,3,2,3,3,2,0,2,Rendah (< 5000),Baru Dipromosikan,< 30,6-10 km,3,,-27.90147590637207,26.124881744384766
390,38,,Travel_Rarely,723,Sales,2,4,Marketing,1,2,Female,77,1,2,Sales Representative,4,Married,5405,4244,2,Y,Yes,20,4,1,80,2,20,4,2,4,2,0,3,Sedang (5000-10000),Baru Dipromosikan,30-39,0-5 km,8,,-1.0783852338790894,39.552001953125
391,30,0.0,Travel_Rarely,1138,Research & Development,6,3,Technical Degree,1,1,Female,48,2,2,Laboratory Technician,4,Married,4627,23631,0,Y,No,12,3,1,80,1,10,6,3,9,2,6,7,Rendah (< 5000),> 5 Tahun,30-39,6-10 km,2,,37.99959182739258,19.7622127532959
392,41,,Travel_Rarely,796,Sales,4,1,Marketing,1,3,Female,81,3,3,Sales Executive,3,Divorced,10447,26458,0,Y,Yes,13,3,4,80,1,23,3,4,22,14,13,5,Tinggi (10000-15000),> 5 Tahun,40-49,0-5 km,-1,,,
393,34,0.0,Travel_Rarely,943,Research & Development,9,3,Life Sciences,1,4,Male,86,3,3,Healthcare Representative,4,Divorced,8500,5494,0,Y,No,11,3,4,80,1,10,0,2,9,7,1,6,Sedang (5000-10000),1-2 Tahun,30-39,6-10 km,4,Risiko Tinggi,11.045243263244629,7.45557165145874
394,35,0.0,Travel_Rarely,735,Research & Development,6,1,Life Sciences,1,3,Male,66,3,1,Research Scientist,3,Married,3506,6020,0,Y,Yes,14,3,4,80,0,4,3,3,3,2,2,2,Rendah (< 5000),1-2 Tahun,30-39,6-10 km,3,,-30.640239715576172,27.118755340576172
395,27,0.0,Travel_Rarely,1240,Research & Development,2,4,Life Sciences,1,4,Female,33,3,1,Laboratory Technician,1,Divorced,2341,19715,1,Y,No,13,3,4,80,1,1,6,3,1,0,0,0,Rendah (< 5000),Baru Dipromosikan,< 30,0-5 km,1,,-40.395477294921875,10.23486042022705
396,39,,Travel_Rarely,722,Sales,24,1,Marketing,1,2,Female,60,2,4,Sales Executive,4,Married,12031,8828,0,Y,No,11,3,1,80,1,21,2,2,20,9,9,6,Tinggi (10000-15000),> 5 Tahun,30-39,21-30 km,2,,65.75943756103516,6.582183837890625
397,56,,Travel_Rarely,1162,Research & Development,24,2,Life Sciences,1,1,Male,97,3,1,Laboratory Technician,4,Single,2587,10261,1,Y,No,16,3,4,80,0,5,3,3,4,2,1,0,Rendah (< 5000),1-2 Tahun,50+,21-30 km,5,,-41.29623031616211,-32.92546463012695
398,32,,Travel_Rarely,1373,Research & Development,5,4,Life Sciences,1,4,Male,56,2,2,Manufacturing Director,4,Single,9679,10138,8,Y,No,24,4,2,80,0,8,1,3,1,0,0,0,Sedang (5000-10000),Baru Dipromosikan,30-39,0-5 km,6,,9.980969429016113,-30.666288375854492
399,31,0.0,Travel_Rarely,691,Research & Development,5,4,Technical Degree,1,3,Male,86,3,1,Research Scientist,4,Married,4821,10077,0,Y,Yes,12,3,3,80,1,6,4,3,5,2,0,3,Rendah (< 5000),Baru Dipromosikan,30-39,0-5 km,3,,-27.078706741333008,25.867359161376953
400,39,0.0,Travel_Frequently,443,Research & Development,8,1,Life Sciences,1,3,Female,48,3,1,Laboratory Technician,3,Married,3755,17872,1,Y,No,11,3,1,80,1,8,3,3,8,3,0,7,Rendah (< 5000),Baru Dipromosikan,30-39,6-10 km,5,,-30.244638442993164,-19.393733978271484
401,29,0.0,Travel_Rarely,1252,Research & Development,23,2,Life Sciences,1,3,Male,81,4,1,Research Scientist,3,Married,2700,23779,1,Y,No,24,4,3,80,1,10,3,3,10,7,0,7,Rendah (< 5000),Baru Dipromosikan,< 30,21-30 km,5,,-33.69526290893555,-17.75648307800293
402,33,,Non-Travel,775,Research & Development,4,3,Technical Degree,1,4,Male,90,3,2,Research Scientist,2,Divorced,3055,6194,5,Y,No,15,3,4,80,2,11,2,2,9,8,1,7,Rendah (< 5000),1-2 Tahun,30-39,0-5 km,6,,-3.2915685176849365,-30.188173294067383
403,29,1.0,Travel_Rarely,121,Sales,27,3,Marketing,1,2,Female,35,3,3,Sales Executive,4,Married,7639,24525,1,Y,No,22,4,4,80,3,10,3,2,10,4,1,9,Sedang (5000-10000),1-2 Tahun,< 30,21-30 km,4,Risiko Tinggi,12.491893768310547,9.219054222106934
404,44,1.0,Travel_Rarely,935,Research & Development,3,3,Life Sciences,1,1,Male,89,3,1,Laboratory Technician,1,Married,2362,14669,4,Y,No,12,3,3,80,0,10,4,4,3,2,1,2,Rendah (< 5000),1-2 Tahun,40-49,0-5 km,5,,-24.734622955322266,-21.27255630493164
405,26,0.0,Travel_Rarely,841,Research & Development,6,3,Other,1,3,Female,46,2,1,Research Scientist,2,Married,2368,23300,1,Y,No,19,3,3,80,0,5,3,2,5,4,4,3,Rendah (< 5000),3-5 Tahun,< 30,6-10 km,1,,-35.093894958496094,-5.588062286376953
406,48,0.0,Travel_Rarely,163,Sales,2,5,Marketing,1,2,Female,37,3,2,Sales Executive,4,Married,4051,19658,2,Y,No,14,3,1,80,1,14,2,3,9,7,6,7,Rendah (< 5000),> 5 Tahun,40-49,0-5 km,2,,37.513240814208984,21.550355911254883
407,38,0.0,Travel_Rarely,364,Research & Development,3,5,Technical Degree,1,4,Female,32,3,2,Research Scientist,3,Single,4317,2302,3,Y,Yes,20,4,2,80,0,19,2,3,3,2,2,2,Rendah (< 5000),1-2 Tahun,30-39,0-5 km,8,,-6.909322738647461,29.370615005493164
408,36,,Travel_Rarely,335,Sales,17,2,Marketing,1,3,Male,33,2,2,Sales Executive,2,Married,5507,16822,2,Y,No,16,3,3,80,2,12,1,1,4,2,1,3,Sedang (5000-10000),1-2 Tahun,30-39,11-20 km,4,Risiko Tinggi,-18.32872772216797,-9.953390121459961
409,23,1.0,Travel_Rarely,1243,Research & Development,6,3,Life Sciences,1,3,Male,63,4,1,Laboratory Technician,1,Married,1601,3445,1,Y,Yes,21,4,3,80,2,1,2,3,0,0,0,0,Rendah (< 5000),Baru Dipromosikan,< 30,6-10 km,1,,-36.44850540161133,29.191020965576172
410,29,,Travel_Rarely,1378,Research & Development,13,2,Other,1,4,Male,46,2,2,Laboratory Technician,2,Married,4025,23679,4,Y,Yes,13,3,1,80,1,10,2,3,4,3,0,3,Rendah (< 5000),Baru Dipromosikan,< 30,11-20 km,8,,-3.6337571144104004,34.14272689819336
411,50,0.0,Travel_Rarely,939,Research & Development,24,3,Life Sciences,1,4,Male,95,3,4,Manufacturing Director,3,Married,13973,4161,3,Y,Yes,18,3,4,80,1,22,2,3,12,11,1,5,Tinggi (10000-15000),1-2 Tahun,50+,21-30 km,0,Risiko Sedang,49.39529037475586,-18.50428581237793
412,37,0.0,Travel_Rarely,1189,Sales,3,3,Life Sciences,1,3,Male,87,3,3,Sales Executive,4,Single,7428,14506,2,Y,No,12,3,1,80,0,12,3,3,5,3,1,3,Sedang (5000-10000),1-2 Tahun,30-39,0-5 km,4,Risiko Tinggi,12.065072059631348,-6.568338871002197
413,24,,Travel_Rarely,771,Research & Development,1,2,Life Sciences,1,2,Male,45,2,2,Healthcare Representative,3,Single,4617,14120,1,Y,No,12,3,2,80,0,4,2,2,4,3,1,2,Rendah (< 5000),1-2 Tahun,< 30,0-5 km,4,Risiko Tinggi,-14.244391441345215,-3.16530179977417
414,31,0.0,Travel_Rarely,1398,Human Resources,8,2,Medical,1,4,Female,96,4,1,Human Resources,2,Single,2109,24609,9,Y,No,18,3,4,80,0,8,3,3,3,2,0,2,Rendah (< 5000),Baru Dipromosikan,30-39,6-10 km,6,,-12.98223876953125,-32.774742126464844
415,49,1.0,Travel_Rarely,1184,Sales,11,3,Marketing,1,3,Female,43,3,3,Sales Executive,4,Married,7654,5860,1,Y,No,18,3,1,80,2,9,3,4,9,8,7,7,Sedang (5000-10000),> 5 Tahun,40-49,11-20 km,2,,50.38967514038086,17.014923095703125
416,34,0.0,Travel_Frequently,135,Research & Development,19,3,Medical,1,3,Female,46,3,2,Laboratory Technician,2,Divorced,4444,22534,4,Y,No,13,3,3,80,2,15,2,4,11,8,5,10,Rendah (< 5000),3-5 Tahun,30-39,11-20 km,7,Risiko Rendah,31.655160903930664,16.657657623291016
417,41,1.0,Travel_Rarely,1102,Sales,1,2,Life Sciences,1,2,Female,94,3,2,Sales Executive,4,Single,5993,19479,8,Y,Yes,11,3,1,80,0,8,0,1,6,4,0,5,Sedang (5000-10000),Baru Dipromosikan,40-49,0-5 km,8,,-8.281299591064453,41.36915588378906
418,34,0.0,Travel_Rarely,970,Research & Development,8,2,Medical,1,2,Female,96,3,2,Healthcare Representative,3,Single,6142,7360,3,Y,No,11,3,4,80,0,10,2,3,5,1,4,3,Sedang (5000-10000),3-5 Tahun,30-39,6-10 km,7,Risiko Rendah,33.62101364135742,15.618226051330566
